country,year,Access to internet (% age 15+),"Access to internet, female (% age 15+)","Access to internet, male (% age 15+)","Access to internet, income, poorest 40% (% age 15+)","Access to internet, income, richest 60% (% age 15+)",Access to internet (% ages 15-34),Access to internet (% ages 35-59),Access to internet (% age 60+)
Afghanistan,2017,14.80909,4.882765,24.6206,9.009466,18.66901,18.33455,9.081439,7.31644
Albania,2017,47.62765,44.80391,50.62286,34.68922,56.23954,75.53036,37.04138,17.31852
Algeria,2017,56.46716,52.9982,59.92853,42.66503,65.64495,69.20241,44.92409,27.34794
Argentina,2017,68.76507,70.11489,67.28787,67.57093,69.55928,85.0132,70.8464,29.291
Armenia,2017,75.05693,73.46163,76.91758,67.42325,80.14458,80.84227,80.50654,52.14128
Australia,2017,91.07783,90.61681,91.55433,86.34592,94.22736,98.7086,97.74044,75.27689
Austria,2017,86.51401,85.17733,87.95523,84.49227,87.85967,94.6224,91.54516,69.45795
Azerbaijan,2017,55.9417,51.06065,60.89904,34.25837,70.33542,70.37687,45.33258,26.98397
Bahrain,2017,91.98148,94.00827,90.94058,90.41692,93.02408,96.92401,88.91543,69.78983
Bangladesh,2017,19.75256,12.60961,27.06072,7.113284,28.16297,28.62033,10.70146,5.122068
Belarus,2017,73.2089,73.13405,73.29995,72.9562,73.37695,96.91766,80.8241,29.73548
Belgium,2017,85.35856,81.47416,89.45616,86.20827,84.79394,99.13197,92.72903,62.05924
Benin,2017,18.70794,11.70581,25.87316,12.2711,22.99033,24.50346,9.901315,10.34139
Bolivia,2017,59.41451,52.90287,66.24586,50.1718,65.57538,80.96672,45.29324,12.26229
Bosnia and Herzegovina,2017,66.69956,65.84528,67.60198,58.991,71.83223,90.93406,71.89746,26.00929
Botswana,2017,38.07562,29.74609,48.23803,23.2781,47.89257,54.73755,20.88461,5.397839
Brazil,2017,68.16731,70.91897,65.11723,57.96967,74.95446,84.11803,64.39526,28.79352
Bulgaria,2017,64.55975,63.05301,66.22598,45.42814,77.20998,95.54021,85.91272,18.2042
Burkina Faso,2017,16.78551,10.38853,22.78359,6.741593,23.47429,20.44627,10.97783,4.762146
Cambodia,2017,28.70967,23.86537,34.49631,20.48425,34.17345,42.33826,15.68443,2.955875
Cameroon,2017,27.39011,23.73573,31.11921,13.01643,36.94839,33.4042,18.72395,8.939283
Canada,2017,92.48291,91.33548,93.70923,91.05085,93.43565,97.32909,95.06501,83.79442
Central African Republic,2017,7.161354,4.90111,9.594541,3.569112,9.546126,9.01612,5.59425,0.0
Chad,2017,7.361003,2.307314,12.67997,2.395766,10.67106,8.418994,5.516834,6.154569
Chile,2017,70.99506,71.92113,69.96987,63.48169,75.98094,92.63844,71.32217,32.20415
China,2017,64.12061,63.69439,64.53285,44.0138,77.98967,93.03758,53.84863,10.20826
Colombia,2017,59.85363,59.53296,60.21362,41.38065,72.11974,75.45256,54.74343,25.74003
"Congo, Dem. Rep.",2017,20.78146,15.1199,26.29001,10.50549,27.59785,26.43534,14.01926,2.212389
"Congo, Rep.",2017,25.82802,21.27494,30.40182,15.03545,32.98316,36.47975,14.73019,6.799792
Costa Rica,2017,78.08119,76.10316,80.24787,71.95057,82.14703,92.75642,76.82058,39.47053
Côte d'Ivoire,2017,26.00028,19.88647,31.5841,15.53254,32.92999,32.51578,18.20263,7.955625
Croatia,2017,74.47534,68.98185,80.36426,70.50111,77.12343,97.39641,85.83776,33.49874
Cyprus,2017,72.63477,71.48362,73.87639,68.68235,75.25509,93.21797,80.33004,27.31019
Czech Republic,2017,80.19041,78.51998,81.98376,72.47026,85.32653,99.00069,91.77489,40.674
Denmark,2017,92.33152,89.20351,95.52691,88.25604,95.04599,99.49481,98.09317,77.03594
Dominican Republic,2017,60.18288,61.48787,58.86524,47.41342,68.64291,74.86381,55.87814,15.61937
Ecuador,2017,51.35165,44.69959,58.27347,36.1625,61.46554,65.2131,45.0509,18.50385
"Egypt, Arab Rep.",2017,34.49039,25.08924,44.0201,21.40569,43.19233,46.77841,26.39105,7.002609
El Salvador,2017,52.16849,49.03221,55.96174,37.44947,61.97588,69.24892,40.31177,18.5287
Estonia,2017,84.9892,83.04564,87.2691,72.77628,93.11979,98.78365,92.45148,58.44235
Ethiopia,2017,8.876242,7.314733,10.53661,3.779984,12.26999,13.57355,2.274955,0.0
