country,year,GDP per capita (current US$)
Arab World,2018,6608.80697772202
Caribbean small states,2018,9991.01614896676
Central Europe and the Baltics,2018,15929.004063352
Early-demographic dividend,2018,3581.91782862635
East Asia & Pacific,2018,11142.5912256169
East Asia & Pacific (excluding high income),2018,7822.8548040433
East Asia & Pacific (IDA & IBRD countries),2018,7905.03514758609
Euro area,2018,39927.6175863294
Europe & Central Asia,2018,25107.2744154631
Europe & Central Asia (excluding high income),2018,8163.51710520999
Europe & Central Asia (IDA & IBRD countries),2018,8822.86923223195
European Union,2018,36569.7338172336
Fragile and conflict affected situations,2018,1633.16563964279
Heavily indebted poor countries (HIPC),2018,934.613745816671
High income,2018,44786.5796621349
IBRD only,2018,6385.46162560212
IDA & IBRD total,2018,5098.53896649042
IDA blend,2018,1787.91519951321
IDA only,2018,1139.70075846414
IDA total,2018,1359.29022728577
Late-demographic dividend,2018,9692.65276890505
Latin America & Caribbean,2018,9044.21587884566
Latin America & Caribbean (excluding high income),2018,8546.01902176315
Latin America & the Caribbean (IDA & IBRD countries),2018,8887.51136267302
Least developed countries: UN classification,2018,1054.53940004273
Low & middle income,2018,4971.16260680749
Low income,2018,833.875876051463
Lower middle income,2018,2217.12313866637
Middle East & North Africa,2018,8042.8494647245
Middle income,2018,5485.48476461947
North America,2018,61117.0483726436
OECD members,2018,40410.4547316493
Other small states,2018,14707.7071595799
Pacific island small states,2018,4224.52989029586
Post-demographic dividend,2018,45126.4977785641
Pre-demographic dividend,2018,1437.28936962287
Small states,2018,13215.7913914968
South Asia,2018,1902.85129020806
South Asia (IDA & IBRD),2018,1902.85129020806
Sub-Saharan Africa,2018,1585.77214781685
Sub-Saharan Africa (excluding high income),2018,1584.43823372274
Sub-Saharan Africa (IDA & IBRD countries),2018,1585.77214781685
Upper middle income,2018,9205.37873960243
World,2018,11312.4515897741
Afghanistan,2018,520.896602719135
Albania,2018,5268.84850355919
Algeria,2018,4114.71506136896
American Samoa,2018,11466.6907058505
Andorra,2018,42029.7627372989
Angola,2018,3432.38573600893
Antigua and Barbuda,2018,16726.9808079479
Argentina,2018,11683.9496216363
Armenia,2018,4212.07094272937
Australia,2018,57373.6866841281
Austria,2018,51461.9547804677
Azerbaijan,2018,4721.17808673142
"Bahamas, The",2018,32217.871590084
Bahrain,2018,24050.7575053956
Bangladesh,2018,1698.26280233547
Barbados,2018,17949.2815054371
Belarus,2018,6289.93855308212
Belgium,2018,47518.6360388914
Belize,2018,4884.74242133376
Benin,2018,901.543871206357
Bhutan,2018,3360.26686689029
Bolivia,2018,3548.59013979338
Bosnia and Herzegovina,2018,6065.67270824158
Botswana,2018,8258.64166574691
Brazil,2018,8920.76210462979
Brunei Darussalam,2018,31628.3287914349
Bulgaria,2018,9272.62930360848
Burkina Faso,2018,715.12290404614
Burundi,2018,271.752044376648
Cabo Verde,2018,3635.40684982339
Cambodia,2018,1510.3248705764
Cameroon,2018,1533.74213975885
Canada,2018,46232.9896226967
Central African Republic,2018,475.721250544318
Chad,2018,728.343235359289
