country,year,"Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate (per 100,000 population)"
Arab World,2016,2.44583423295783,5.95313208831613,4.27191162494461
Caribbean small states,2016,3.90673903775249,14.3279177073848,9.10047459901092
Central Europe and the Baltics,2016,5.15597115819886,25.8541986502922,15.1573079416604
Early-demographic dividend,2016,8.06656746594281,11.7196994710141,9.93544065871418
East Asia & Pacific,2016,8.41133410213443,10.5623049387261,9.50881735633524
East Asia & Pacific (excluding high income),2016,8.07019847861415,8.83342985701868,8.469040070272
East Asia & Pacific (IDA & IBRD countries),2016,8.06461564784449,8.77027826012077,8.43495445055991
Euro area,2016,7.40948086269821,18.7282528966786,12.9550308331127
Europe & Central Asia,2016,6.64647237463731,24.8932100915315,15.4996377241335
Europe & Central Asia (excluding high income),2016,6.29655576799439,31.998167974826,18.6127760816463
Europe & Central Asia (IDA & IBRD countries),2016,6.14606976852565,31.6765041523656,18.3914070759194
European Union,2016,6.66970654623135,19.0683014641951,12.7409635212968
Fragile and conflict affected situations,2016,4.37758460433176,8.91304629923228,6.6567057191346
Heavily indebted poor countries (HIPC),2016,4.06859474684313,10.047224727534,7.05860345647299
High income,2016,7.57253852586082,20.9419427269191,14.2217116989928
IBRD only,2016,8.61904438226075,13.5973689291019,11.1475603520997
IDA & IBRD total,2016,7.70035737681176,12.2422929672532,10.0044218210512
IDA blend,2016,5.42036953354716,7.27056068267307,6.37057813697387
IDA only,2016,4.76345185777715,8.59393190845338,6.69305550026928
IDA total,2016,4.98363135339565,8.13977797508946,6.58367682767885
Late-demographic dividend,2016,8.14721657449859,13.3497327265881,10.7896064593224
Latin America & Caribbean,2016,3.11666166486167,10.716493227437,6.87060579241244
Latin America & Caribbean (excluding high income),2016,3.07230751527629,10.4203858058197,6.69986523182791
Latin America & the Caribbean (IDA & IBRD countries),2016,3.07038603676384,10.5131874901761,6.74666924869626
Least developed countries: UN classification,2016,4.81413387137851,8.3046928067193,6.57523993810354
Low & middle income,2016,7.73761248087163,12.1390797268399,9.9709084794325
Low income,2016,4.14522177246071,9.11502470984275,6.63016649624652
Lower middle income,2016,8.95610506530998,12.4415393698402,10.7359610164872
Middle East & North Africa,2016,2.40371447260915,5.24389456744287,3.89047499085445
Middle East & North Africa (excluding high income),2016,2.51870734704792,5.277410972121,3.92944110699236
Middle East & North Africa (IDA & IBRD countries),2016,2.51870734704792,5.277410972121,3.92944110699236
Middle income,2016,8.18017229754769,12.4968253269276,10.3741855904951
North America,2016,7.17993593297536,23.0458755996377,15.0185079062224
OECD members,2016,7.0396347369171,20.0420912702035,13.4315462590515
Other small states,2016,5.53209980503487,12.2018459711708,9.06934698210315
Pacific island small states,2016,2.72106669198255,8.18260625873346,5.4966503144099
Post-demographic dividend,2016,7.9939512719759,22.8228555566881,15.2685812815695
Pre-demographic dividend,2016,4.96408686014649,9.02553405084313,6.98947452858438
Small states,2016,5.04742566838742,12.3430345928274,8.86510902645263
South Asia,2016,12.1537506556678,14.6689368576071,13.458530667207
South Asia (IDA & IBRD),2016,12.1537506556678,14.6689368576071,13.458530667207
Sub-Saharan Africa,2016,4.91768107735778,10.179561712224,7.53975065904915
Sub-Saharan Africa (excluding high income),2016,4.91790702253836,10.1789678347776,7.53958766028833
Sub-Saharan Africa (IDA & IBRD countries),2016,4.91768107735778,10.179561712224,7.53975065904915
Upper middle income,2016,7.32219616085775,12.5597693332,9.96819621659503
World,2016,7.71129757350415,13.5057595189264,10.6396274578633
Afghanistan,2016,1.5,7.6,4.7
Albania,2016,4.7,7.9,6.3
Algeria,2016,1.7,4.7,3.2
Angola,2016,2.5,7.0,4.7
Antigua and Barbuda,2016,0.9,0.0,0.5
Argentina,2016,3.5,15.1,9.2
Armenia,2016,2.8,10.8,6.6
Australia,2016,7.0,19.5,13.2
Austria,2016,7.7,23.9,15.6
Azerbaijan,2016,1.1,4.2,2.6
"Bahamas, The",2016,0.5,3.0,1.7
Bahrain,2016,1.9,8.4,5.9
Bangladesh,2016,7.0,4.7,5.9
Barbados,2016,0.5,1.0,0.8
Belarus,2016,8.2,46.9,26.2
Belgium,2016,13.8,27.8,20.7
Belize,2016,1.6,7.9,4.7
Benin,2016,5.9,13.9,9.9
Bhutan,2016,8.5,14.0,11.4
Bolivia,2016,8.6,15.8,12.2
