,countries,median_age,median_age_male,median_age_female
0,Afghanistan,18.9,18.8,18.9
1,Albania,32.9,31.6,34.3
2,Algeria,28.1,27.8,28.4
3,American Samoa,25.5,25.1,26.0
4,Andorra,44.3,44.4,44.1
5,Angola,15.9,15.4,16.3
6,Anguilla,34.8,32.9,36.7
7,Antigua and Barbuda,31.9,30.0,33.5
8,Argentina,31.7,30.5,32.9
9,Armenia,35.1,33.3,36.9
10,Aruba,39.3,37.5,41.1
11,Australia,38.7,37.9,39.5
12,Austria,44.0,42.8,45.1
13,Azerbaijan,31.3,29.8,33.0
14,The Bahamas,32.0,30.9,33.2
15,Bahrain,32.3,33.8,29.5
16,Bangladesh,26.7,26.0,27.3
17,Barbados,38.6,37.5,39.8
18,Belarus,40.0,37.1,43.1
19,Belgium,41.4,40.2,42.7
20,Belize,22.7,22.5,22.9
21,Benin,18.2,17.9,18.6
22,Bermuda,43.4,41.5,45.3
23,Bhutan,27.6,28.2,27.1
24,Bolivia,24.3,23.6,25.0
25,Bosnia and Herzegovina,42.1,40.5,43.5
26,Botswana,24.5,23.5,25.6
27,Brazil,32.6,31.1,32.8
28,British Virgin Islands,36.5,36.3,36.6
29,Brunei,30.2,29.7,30.7
30,Bulgaria,42.7,40.9,44.7
31,Burkina Faso,17.3,17.1,17.4
32,Burma,28.2,27.4,29.0
33,Burundi,17.0,16.8,17.3
34,Cabo Verde,25.4,24.6,26.2
35,Cambodia,25.3,24.6,26.0
36,Cameroon,18.5,18.4,18.7
37,Canada,42.2,40.9,43.5
38,Cayman Islands,40.0,39.3,40.7
39,Central African Republic,19.7,19.4,20.0
40,Chad,17.8,16.8,18.8
41,Chile,34.4,33.2,35.6
42,China,37.4,36.5,38.4
43,Colombia,30.0,29.0,31.0
44,Comoros,19.9,19.2,20.5
45,Democratic Republic of the Congo,18.6,18.3,18.8
46,Republic of the Congo,19.7,19.5,19.8
47,Cook Islands,36.5,36.0,37.0
48,Costa Rica,31.3,30.8,31.8
49,Cote d'Ivoire,20.9,21.0,20.9
