,countries,gold_medals_2016,silver_medals_2016,bronze_medals_2016
0,United States,46,37,38
1,Great Britain,27,23,17
2,China,26,18,26
3,Russia,19,17,20
4,Germany,17,10,15
5,Japan,12,8,21
6,France,10,18,14
7,South Korea,9,3,9
8,Italy,8,12,8
9,Australia,8,11,10
10,Netherlands,8,7,4
11,Hungary,8,3,4
12,Brazil,7,6,6
13,Spain,7,4,6
14,Kenya,6,6,1
15,Jamaica,6,3,2
16,Croatia,5,3,2
17,Cuba,5,2,4
18,New Zealand,4,9,5
19,Canada,4,3,15
20,Uzbekistan,4,2,7
21,Kazakhstan,3,5,10
22,Colombia,3,2,3
23,Switzerland,3,2,2
24,Iran,3,1,4
25,Greece,3,1,2
26,Argentina,3,1,0
27,Denmark,2,6,7
28,Sweden,2,6,3
29,South Africa,2,6,2
30,Ukraine,2,5,4
31,Serbia,2,4,2
32,Poland,2,3,6
33,North Korea,2,3,2
34,Belgium,2,2,2
35,Thailand,2,2,2
36,Slovakia,2,2,0
37,Georgia,2,1,4
38,Azerbaijan,1,7,10
39,Belarus,1,4,4
40,Turkey,1,3,4
41,Armenia,1,3,0
42,Czech Republic,1,2,7
43,Ethiopia,1,2,5
44,Slovenia,1,2,1
45,Indonesia,1,2,0
46,Romania,1,1,2
47,Bahrain,1,1,0
48,Vietnam,1,1,0
49,Chinese Taipei,1,0,2
50,Bahamas,1,0,1
51,Independent Olympic Athletes,1,0,1
52,Ivory Coast,1,0,1
53,Fiji,1,0,0
54,Jordan,1,0,0
55,Kosovo,1,0,0
56,Puerto Rico,1,0,0
57,Singapore,1,0,0
58,Tajikistan,1,0,0
59,Malaysia,0,4,1
60,Mexico,0,3,2
61,Venezuela,0,2,1
62,Algeria,0,2,0
63,Ireland,0,2,0
64,Lithuania,0,1,3
65,Bulgaria,0,1,2
66,India,0,1,1
67,Mongolia,0,1,1
68,Burundi,0,1,0
69,Grenada,0,1,0
70,Niger,0,1,0
71,Philippines,0,1,0
72,Qatar,0,1,0
73,Norway,0,0,4
74,Egypt,0,0,3
75,Tunisia,0,0,3
76,Israel,0,0,2
77,Austria,0,0,1
78,Dominican Republic,0,0,1
79,Estonia,0,0,1
80,Finland,0,0,1
81,Morocco,0,0,1
82,Nigeria,0,0,1
83,Portugal,0,0,1
84,Trinidad and Tobago,0,0,1
85,United Arab Emirates,0,0,1
