,countries,oscar_winning
0,Italy,14
1,France,12
2,Spain,4
3,Japan,4
4,Sweden,3
5,Denmark,3
6,Soviet Union,3
7,Netherlands,3
8,Germany,2
9,Hungary,2
10,Argentina,2
11,Czechoslovakia,2
12,Switzerland,2
13,Austria,2
14,Iran,2
15,Poland,1
16,Mexico,1
17,West Germany,1
18,Canada,1
19,Russia,1
20,Algeria,1
21,Taiwan,1
22,Czech Republic,1
23,Chile,1
24,South Africa,1
25,South Korea,1
26,Bosnia & Herzegovina,1
27,Ivory Coast,1
28,Israel,0
29,Belgium,0
30,Yugoslavia,0
31,Norway,0
32,Greece,0
33,Brazil,0
34,India,0
35,Hong Kong,0
36,China,0
37,United Kingdom,0
38,Lebanon,0
39,North Macedonia,0
40,Palestine,0
41,Iceland,0
42,Finland,0
43,Colombia,0
44,Peru,0
45,Cuba,0
46,Uruguay,0
47,Georgia,0
48,Estonia,0
49,Vietnam,0
50,Kazakhstan,0
51,Australia,0
52,Puerto Rico,0
53,Nepal,0
54,Cambodia,0
55,East Germany,0
56,Jordan,0
57,Nicaragua,0
58,Mauritania,0
59,Portugal,0
60,Romania,0
61,Egypt,0
62,Philippines,0
63,Bulgaria,0
64,Venezuela,0
65,Croatia,0
66,Serbia,0
67,Thailand,0
68,Turkey,0
69,Slovakia,0
70,Slovenia,0
71,Indonesia,0
72,Luxembourg,0
73,Bangladesh,0
74,Morocco,0
75,Afghanistan,0
76,Singapore,0
77,Albania,0
78,Dominican Republic,0
79,Kyrgyzstan,0
80,Lithuania,0
81,Ukraine,0
82,Bolivia,0
83,Latvia,0
84,Iraq,0
85,Pakistan,0
86,Armenia,0
87,Costa Rica,0
88,Ecuador,0
89,Azerbaijan,0
90,Ireland,0
91,Kosovo,0
92,Montenegro,0
93,New Zealand,0
94,Panama,0
95,Tunisia,0
96,Malaysia,0
97,Mongolia,0
98,Belarus,0
99,Ethiopia,0
100,Kenya,0
101,Paraguay,0
102,Saudi Arabia,0
103,Cameroon,0
104,Chad,0
105,Greenland,0
106,Guatemala,0
107,Honduras,0
108,Kuwait,0
109,Moldova,0
110,Senegal,0
111,Sri Lanka,0
112,Tajikistan,0
113,Yemen,0
114,Bhutan,0
115,Burkina Faso,0
116,Democratic Republic of the Congo,0
117,Fiji,0
118,Ghana,0
119,Haiti,0
120,Laos,0
121,Malawi,0
122,Malta,0
123,Mozambique,0
124,Niger,0
125,Nigeria,0
126,Syria,0
127,Tanzania,0
128,Uzbekistan,0
