,countries,railways_per_capita
0,European Union,"2,347"
1,United States,"2,060"
2,China,"10,945"
3,Russia,"1,678"
4,India,"19,656"
5,Canada,674
6,Brazil,"6,986"
7,Germany,"2,145"
8,Argentina,"1,117"
9,Australia,742
10,France,"2,374"
11,Japan,"5,451"
12,South Africa,"2,577.29"
13,Ukraine,"2,140"
14,Poland,"2,001"
15,Mexico,"6,697"
16,Iran,"6,816"
17,Italy,"3,614"
18,United Kingdom,"4,047"
19,Spain,"2,920"
20,Kazakhstan,"1,146"
21,Myanmar,"12,127"
22,Sweden,919
23,Romania,"1,823"
24,Turkey,"7,821"
25,Czech Republic,"1,106"
26,Indonesia,27853
27,Pakistan,22759
28,Hungary,"1,233"
29,Egypt,"13,888"
30,Chile,"2,931"
31,Sudan,"5,640"
32,Finland,929
33,North Korea,"4,595"
34,Austria,"1,587"
35,Cuba,"2,215"
36,Belarus,"1,741"
37,Switzerland,"1,585"
38,Turkmenistan,"1,585"
39,Saudi Arabia,"19,219"
40,Thailand,"16,084"
41,Uzbekistan,"6,488"
42,Algeria,"9,306"
43,South Korea,9348
44,New Zealand,"1,070"
45,Democratic Republic of the Congo,"16,463"
46,Bulgaria,"1,762"
47,Norway,"1,350"
48,Serbia,"1,866"
49,Slovakia,"1,499"
50,Belgium,"3,140"
51,Nigeria,"44,904"
52,Vietnam,"27,765"
53,Mozambique,"6,604"
54,Zimbabwe,"4,190"
55,Netherlands,"5,591"
56,Uruguay,"1,121"
57,Bolivia,"3,638"
58,Bangladesh,"53,392"
59,Angola,"6,911"
60,Tanzania,"15,866"
61,Croatia,"1,595"
62,Portugal,"4,049"
63,Kenya,"17,643"
64,Namibia,877
65,Greece,"4,808"
66,Tunisia,"5,326"
67,Syria,"11,078"
68,Morocco,"16,946"
69,Azerbaijan,"4,666"
70,Iraq,"15,587"
71,Peru,"14,585"
72,Denmark,"2,893"
73,Ireland,"2,477"
74,Lithuania,"1,490"
75,Latvia,"1,048"
76,Malaysia,"15,324"
77,Mongolia,"1,560"
78,Taiwan,13638
79,Colombia,"27,770"
80,Georgia,"2,360"
81,Sri Lanka,"13,696"
82,Israel,"6,355"
83,Uganda,"122,780"
84,Zambia,"10,547"
85,Slovenia,"1,709"
86,Estonia,"1,134"
87,Moldova,"3,084"
88,Bosnia and Herzegovina,"3,445"
89,Cameroon,"23,367"
90,Ecuador,"14,810"
91,Ghana,"25,429"
92,Senegal,"16,534"
93,Botswana,"2,488"
94,Guatemala,"16,228"
95,Madagascar,"28,573"
96,Guinea,"11,926"
97,Gabon,"1,858"
98,Malawi,"18,696"
99,Republic of the Congo,5086
100,Benin,"11,581"
101,Mali,"22,606"
102,Mauritania,"4,753"
103,Armenia,"4,168"
104,Honduras,"11,753"
105,North Macedonia,"3,037"
106,Ethiopia,"150,935"
107,Cambodia,"24,994"
108,Côte d'Ivoire,"30,889"
109,Burkina Faso,"25,291"
110,Jordan,"15,598"
111,Tajikistan,"11,167"
112,Fiji,"1,442"
113,Togo,"10,613"
114,El Salvador,"10,221"
115,Dominican Republic,"18,141"
116,Liberia,"8,151"
117,Kyrgyzstan,"13,446"
118,Panama,"9,594"
119,Venezuela,"87,458"
120,Albania,"8,602"
121,Eritrea,"17,170"
122,Eswatini,"3,940"
123,Costa Rica,"16,416"
124,Luxembourg,"2,148"
125,United Arab Emirates,"21,893"
126,Montenegro,"2,490"
127,Hong Kong,"33,165"
128,Suriname,"3,163"
129,Singapore,"28,682"
130,Guyana,"4,197"
131,Djibouti,"9,203"
132,Sierra Leone,"69,857"
133,Philippines,"196,270"
134,Afghanistan,"418,827"
135,Jamaica,"9,948"
136,Saint Kitts and Nevis,"1,040"
137,Nepal,"514,035"
138,Paraguay,"173,056"
139,Puerto Rico,"38,810"
140,Brunei,"30,692"
141,Liechtenstein,"4,017"
142,Western Sahara,"106,200"
143,Nauru,"2,000"
144,Laos,"1,557,550"
145,Monaco,"20,588"
146,Lesotho,"723,667"
147,Vatican City,"3,333"
148,World,"4,814"
